C:\Users\zahra\PyCharmMiscProject\.venv\bin\python.exe C:\Users\zahra\PyCharmMiscProject\AW.py 

  Running correctness verification …
  ✓ All 10 algorithms passed correctness check.

=================================================================
  Experimental Comparison of Sorting Algorithms
  Algorithms Course — Python Benchmark
=================================================================
  Algorithms   : 10
  Input sizes  : [100, 500, 1000, 2000, 5000, 10000]
  Distributions: ['random', 'sorted', 'reverse']
  Trials/cell  : 5
  Total cells  : 180
=================================================================

── Distribution: RANDOM ──────────────────────────────
  [  0.6%]  Bubble Sort       n=   100  random         0.262 ms
  [  1.1%]  Selection Sort    n=   100  random         0.141 ms
  [  1.7%]  Insertion Sort    n=   100  random         0.117 ms
  [  2.2%]  Merge Sort        n=   100  random         0.235 ms
  [  2.8%]  Quick Sort        n=   100  random         0.040 ms
  [  3.3%]  Heap Sort         n=   100  random         0.084 ms
  [  3.9%]  Shell Sort        n=   100  random         0.067 ms
  [  4.4%]  Counting Sort     n=   100  random         0.358 ms
  [ 82.8%]  Radix Sort        n= 1,000  reverse        0.727 ms
  [ 83.3%]  Tim Sort          n= 1,000  reverse        0.015 ms
  [ 83.9%]  Bubble Sort       n= 2,000  reverse      361.959 ms
  [ 84.4%]  Selection Sort    n= 2,000  reverse      147.158 ms
  [ 85.0%]  Insertion Sort    n= 2,000  reverse      224.578 ms
  [ 85.6%]  Merge Sort        n= 2,000  reverse        3.207 ms
  [ 86.1%]  Quick Sort        n= 2,000  reverse        1.798 ms
  [ 86.7%]  Heap Sort         n= 2,000  reverse        2.545 ms
  [ 87.2%]  Shell Sort        n= 2,000  reverse        2.666 ms
  [ 87.8%]  Counting Sort     n= 2,000  reverse        4.721 ms
  [ 88.3%]  Radix Sort        n= 2,000  reverse        2.200 ms
  [ 88.9%]  Tim Sort          n= 2,000  reverse        0.025 ms
  [ 89.4%]  Bubble Sort       n= 5,000  reverse     2849.049 ms
  [ 90.0%]  Selection Sort    n= 5,000  reverse      948.281 ms
  [ 90.6%]  Insertion Sort    n= 5,000  reverse     1889.637 ms
  [ 91.1%]  Merge Sort        n= 5,000  reverse       20.764 ms
  [ 91.7%]  Quick Sort        n= 5,000  reverse        4.951 ms
  [ 92.2%]  Heap Sort         n= 5,000  reverse       11.058 ms
  [ 92.8%]  Shell Sort        n= 5,000  reverse        9.839 ms
  [ 93.3%]  Counting Sort     n= 5,000  reverse       12.260 ms
  [ 93.9%]  Radix Sort        n= 5,000  reverse        7.985 ms
  [ 94.4%]  Tim Sort          n= 5,000  reverse        0.057 ms
  [ 95.0%]  Bubble Sort       n=10,000  reverse   343480.350 ms
  [ 95.6%]  Selection Sort    n=10,000  reverse     6114.818 ms
  [ 96.1%]  Insertion Sort    n=10,000  reverse    12205.436 ms
  [ 96.7%]  Merge Sort        n=10,000  reverse       58.670 ms
  [ 97.2%]  Quick Sort        n=10,000  reverse       26.904 ms
  [ 97.8%]  Heap Sort         n=10,000  reverse       50.400 ms
  [ 98.3%]  Shell Sort        n=10,000  reverse       54.124 ms
  [ 98.9%]  Counting Sort     n=10,000  reverse       66.379 ms
  [ 99.4%]  Radix Sort        n=10,000  reverse       29.073 ms
  [100.0%]  Tim Sort          n=10,000  reverse        0.214 ms

  ✓ Results written to 'results.csv'  (180 rows)
  ✓ Report  written to 'results_report.txt'


Figure — RANDOM Input  (n = 10,000, 5-run average)
────────────────────────────────────────────────────────────────────────
  Algorithm           Avg (ms)   Relative bar
────────────────────────────────────────────────────────────────────────
  Tim Sort                2.61   ░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░
  Radix Sort             15.72   ░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░
  Quick Sort             19.74   ░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░
  Counting Sort          29.36   ░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░
  Heap Sort              36.99   ░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░
  Shell Sort             52.75   ░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░
  Merge Sort             58.76   ░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░
  Insertion Sort       3973.02   ██████████████████░░░░░░░░░░░░░░░░░░░░░░
  Selection Sort       4083.49   ███████████████████░░░░░░░░░░░░░░░░░░░░░
  Bubble Sort          8747.00   ████████████████████████████████████████
────────────────────────────────────────────────────────────────────────
  (n = 10,000 — bars scaled to maximum value)


Figure — SORTED Input  (n = 10,000, 5-run average)
────────────────────────────────────────────────────────────────────────
  Algorithm           Avg (ms)   Relative bar
────────────────────────────────────────────────────────────────────────
  Tim Sort                0.06   ░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░
  Bubble Sort             0.78   ░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░
